[2023-08-21 18:59:10.307] Log file generated
[2023-08-21 18:59:18.581] send 4159 to server
[2023-08-21 18:59:18.581] send 4159 to server
[2023-08-21 18:59:18.682] send 4158 to server
[2023-08-21 18:59:18.784] send 4159 to server
[2023-08-21 18:59:18.784] send 4159 to server
[2023-08-21 18:59:18.784] send 4161 to server
[2023-08-21 18:59:18.784] send 4160 to server
[2023-08-21 18:59:18.885] send 4159 to server
[2023-08-21 18:59:18.886] send 4159 to server
[2023-08-21 18:59:18.886] send 4161 to server
[2023-08-21 18:59:18.886] send 4160 to server
[2023-08-21 18:59:18.887] send 4160 to server
[2023-08-21 18:59:18.887] send 4160 to server
[2023-08-21 18:59:18.988] send 4157 to server
[2023-08-21 18:59:18.988] send 4162 to server
[2023-08-21 18:59:18.994] send 4159 to server
[2023-08-21 18:59:18.994] send 4159 to server
[2023-08-21 18:59:18.995] send 4158 to server
[2023-08-21 18:59:19.096] send 4159 to server
[2023-08-21 18:59:19.096] send 4160 to server
[2023-08-21 18:59:19.096] send 4159 to server
[2023-08-21 18:59:19.097] send 4159 to server
[2023-08-21 18:59:19.097] send 4160 to server
[2023-08-21 18:59:19.198] send 4160 to server
[2023-08-21 18:59:19.198] send 4159 to server
[2023-08-21 18:59:19.198] send 4157 to server
[2023-08-21 18:59:19.199] send 4160 to server
[2023-08-21 18:59:19.199] send 4158 to server
[2023-08-21 18:59:19.199] send 4159 to server
[2023-08-21 18:59:19.300] send 4159 to server
[2023-08-21 18:59:19.301] send 4160 to server
[2023-08-21 18:59:19.301] send 4159 to server
[2023-08-21 18:59:19.301] send 4158 to server
[2023-08-21 18:59:19.402] send 4159 to server
[2023-08-21 18:59:19.402] send 4159 to server
[2023-08-21 18:59:19.402] send 4159 to server
[2023-08-21 18:59:19.403] send 4160 to server
[2023-08-21 18:59:19.403] send 4158 to server
[2023-08-21 18:59:19.403] send 4158 to server
[2023-08-21 18:59:19.403] send 4158 to server
[2023-08-21 18:59:19.403] send 4157 to server
[2023-08-21 18:59:19.605] send 4157 to server
[2023-08-21 18:59:19.605] send 4160 to server
[2023-08-21 18:59:19.606] send 4159 to server
[2023-08-21 18:59:19.606] send 4161 to server
[2023-08-21 18:59:19.606] send 4158 to server
[2023-08-21 18:59:19.606] send 4157 to server
[2023-08-21 18:59:19.707] send 4159 to server
[2023-08-21 18:59:19.708] send 4159 to server
